Order_ID,Order_Date,Ship_Date,Delivery_Date,Customer_ID,Customer_Name,Age,Gender,City,Category,Quantity,Cost_Price,Selling_Price,Discount,Payment_Method,Customer_Rating,Return_Status,Income,Profit,Profit Margin %,Delivery Days,Order Month,Order Year,Revenue
2998,2024-03-09,2024-03-09,2024-03-12,1245, Customer 5 ,44.0,Female,Delhi,Electronics,2.0,3280,3968,0.0,UPI,1.0,Yes,190274.0,688,17.338709677419356,3 days,March,2024,7936.0
2415,2024-07-14,2024-07-15,2024-07-20,594, Customer 45 ,64.0,Female,Mumbai,Electronics,,3896,1916,0.1,Card,,Yes,,-1980,-103.34029227557411,5 days,July,2024,
2503,2024-10-27,2024-10-30,2024-11-06,768, Customer 178 ,43.0,Female,Mumbai,Electronics,,1747,2088,0.0,Cash,1.0,No,,341,16.331417624521073,7 days,October,2024,
4471,2024-12-26,2024-12-29,2024-12-30,1351, Customer 1123 ,44.0,Female,Kolkata,Furniture,5.0,2154,200,0.2,Cash,1.0,No,115613.0,-1954,-977.0,1 days,December,2024,1000.0
2876,2024-09-15,,2024-09-24,363, Customer 1128 ,44.0,Female,Kolkata,Electronics,,2262,3494,0.1,UPI,2.0,Yes,138750.0,1232,35.26044647967945,,September,2024,
3160,2024-05-23,2024-05-24,2024-05-27,604, Customer 932 ,44.0,Female,Kolkata,Furniture,4.0,703,2921,0.1,Card,,No,130341.0,2218,75.93289969188633,3 days,May,2024,11684.0
1144,2024-05-12,2024-05-12,2024-05-15,1037, Customer 1389 ,44.0,Female,Mumbai,Electronics,,123,3636,0.2,UPI,,No,,3513,96.61716171617162,3 days,May,2024,
4046,2024-01-31,2024-02-02,2024-02-03,18, Customer 1149 ,31.0,Male,Mumbai,Electronics,,3806,2609,0.2,UPI,,Yes,110945.0,-1197,-45.879647374472974,1 days,January,2024,
2332,2024-04-15,2024-04-18,2024-04-26,38, Customer 322 ,44.0,Male,Kolkata,Clothing,,2114,3295,0.25,UPI,5.0,Yes,,1181,35.8421851289833,8 days,April,2024,
2097,2024-12-17,2024-12-20,2024-12-27,754, Customer 694 ,33.0,Male,Kolkata,Electronics,,745,430,0.2,UPI,,Yes,126587.0,-315,-73.25581395348837,7 days,December,2024,
3318,2024-07-13,2024-07-14,2024-07-15,606, Customer 1156 ,39.0,Female,Kolkata,Furniture,3.0,2387,4912,0.1,Card,1.0,Yes,,2525,51.40472312703584,1 days,July,2024,14736.0
1651,2024-02-28,2024-02-28,2024-03-01,775, Customer 1112 ,44.0,Male,Mumbai,Electronics,,735,1046,0.1,UPI,,Yes,27146.0,311,29.732313575525815,2 days,February,2024,
1456,2024-05-31,2024-06-02,2024-06-08,1112, Customer 1410 ,44.0,Female,Kolkata,Electronics,2.0,1349,3364,0.0,UPI,4.0,No,,2015,59.898929845422124,6 days,May,2024,6728.0
2297,2024-02-15,2024-02-18,2024-02-18,685, Customer 207 ,44.0,Female,Mumbai,Clothing,5.0,218,3298,0.2,UPI,1.0,Yes,125322.0,3080,93.38993329290479,0 days,February,2024,16490.0
1413,2024-05-17,2024-05-17,2024-05-17,1043, Customer 1363 ,19.0,Male,Kolkata,Electronics,,1970,3042,0.0,UPI,5.0,Yes,74195.0,1072,35.23997370151216,0 days,May,2024,
3927,2024-10-06,2024-10-06,2024-10-10,1397, Customer 915 ,44.0,Female,Mumbai,Electronics,,2251,2548,0.25,UPI,,No,,297,11.656200941915227,4 days,October,2024,
2061,2024-05-09,2024-09-05,2024-09-10,1255, Customer 183 ,54.0,Male,Delhi,Electronics,,2481,610,0.25,UPI,4.0,No,,-1871,-306.72131147540983,5 days,May,2024,
1653,2024-04-25,2024-04-28,2024-05-02,639, Customer 612 ,44.0,Female,Kolkata,Clothing,3.0,2145,1897,0.25,UPI,2.0,No,66209.0,-248,-13.073273589878756,4 days,April,2024,5691.0
3229,2024-05-08,2024-05-11,2024-05-13,186, Customer 523 ,54.0,Female,Kolkata,Electronics,1.0,1622,3324,0.1,Cash,4.0,No,,1702,51.203369434416366,2 days,May,2024,3324.0
1483,2024-03-25,2024-03-27,2024-04-02,1146, Customer 9 ,44.0,Male,Mumbai,Furniture,5.0,2237,1076,0.1,UPI,5.0,Yes,,-1161,-107.89962825278809,6 days,March,2024,5380.0
4150,2024-03-16,2024-03-17,2024-03-20,582, Customer 222 ,44.0,Male,Kolkata,Clothing,,2060,1476,0.2,UPI,,No,,-584,-39.56639566395664,3 days,March,2024,
4207,2024-09-27,2024-09-29,2024-09-28,1327, Customer 774 ,44.0,Female,Kolkata,Clothing,,1685,2968,0.2,Cash,,No,,1283,43.227762803234505,-1 days,September,2024,
3018,2024-11-13,2024-11-14,2024-11-18,596, Customer 1290 ,51.0,Male,Delhi,Electronics,,1709,4846,0.2,UPI,1.0,No,,3137,64.73380107304993,4 days,November,2024,
3090,2024-12-16,2024-12-18,2024-12-19,728, Customer 138 ,44.0,Female,Delhi,Electronics,2.0,235,1489,0.1,Cash,5.0,No,74759.0,1254,84.2175957018133,1 days,December,2024,2978.0
1690,2024-01-05,2024-05-03,2024-05-06,1140, Customer 553 ,22.0,Male,Mumbai,Electronics,,2145,3116,0.2,Cash,5.0,No,,971,31.161745827984593,3 days,January,2024,
1297,2024-11-08,2024-11-09,2024-11-08,1187, Customer 909 ,44.0,Female,Kolkata,Clothing,,3267,2693,0.2,UPI,3.0,No,,-574,-21.31451912365392,-1 days,November,2024,
3016,2024-07-24,2024-07-25,,1224, Customer 48 ,44.0,Male,Kolkata,Furniture,,1676,2602,0.0,Card,2.0,Yes,44964.0,926,35.58800922367409,,July,2024,
3240,2024-07-23,2024-07-24,2024-07-30,529, Customer 677 ,44.0,Female,Mumbai,Electronics,2.0,1211,1481,0.1,UPI,1.0,No,,270,18.23092505064146,6 days,July,2024,2962.0
3313,2024-10-24,2024-10-26,2024-10-28,1336, Customer 622 ,44.0,Male,Kolkata,Clothing,1.0,1636,1347,0.1,Card,2.0,No,43864.0,-289,-21.455085374907203,2 days,October,2024,1347.0
2064,2024-01-15,2024-01-18,2024-01-19,1205, Customer 1210 ,44.0,Male,Kolkata,Furniture,5.0,2634,3766,0.0,Cash,4.0,No,193640.0,1132,30.058417419012212,1 days,January,2024,18830.0
4500,2024-12-31,2025-01-02,2025-01-10,187, Customer 1051 ,64.0,Female,Mumbai,Electronics,,668,2160,0.1,UPI,1.0,No,194130.0,1492,69.07407407407408,8 days,December,2024,
2573,2024-07-21,2024-07-24,2024-07-23,267, Customer 534 ,44.0,Female,Kolkata,Electronics,,401,2148,0.2,UPI,,No,,1747,81.33147113594042,-1 days,July,2024,
4044,2024-10-26,2024-10-29,2024-10-29,665, Customer 200 ,44.0,Female,Kolkata,Electronics,5.0,3456,4390,0.1,Card,,No,,934,21.275626423690206,0 days,October,2024,21950.0
4214,2024-06-29,2024-07-01,2024-07-05,573, Customer 983 ,65.0,Female,Kolkata,Furniture,1.0,3795,4410,0.2,UPI,,No,,615,13.945578231292515,4 days,June,2024,4410.0
3814,2024-07-04,2024-07-06,2024-07-11,379, Customer 842 ,44.0,Female,Mumbai,Electronics,,657,5000,0.1,UPI,5.0,Yes,185711.0,4343,86.86,5 days,July,2024,
3909,2024-07-02,2024-02-08,2024-02-09,1011, Customer 482 ,44.0,Female,Delhi,Electronics,5.0,3521,4936,0.25,UPI,5.0,No,72786.0,1415,28.666936790923824,1 days,July,2024,24680.0
1026,2024-09-29,2024-10-02,2024-10-09,1315, Customer 12 ,49.0,Female,Kolkata,Electronics,,1491,4278,0.0,Cash,,No,,2787,65.14726507713885,7 days,September,2024,
2508,2024-08-03,2024-03-11,2024-03-19,1372, Customer 38 ,44.0,Male,Kolkata,Electronics,,3065,178,0.25,Card,,No,,-2887,-1621.9101123595508,8 days,August,2024,
2506,2024-08-21,2024-08-21,2024-08-27,846, Customer 529 ,44.0,Female,Kolkata,Furniture,,3384,3501,0.0,Cash,4.0,No,,117,3.3419023136246784,6 days,August,2024,
4173,2024-02-16,2024-02-16,2024-02-17,7, Customer 183 ,44.0,Female,Mumbai,Electronics,5.0,687,1977,0.25,Card,1.0,Yes,,1290,65.25037936267071,1 days,February,2024,9885.0
2596,2024-12-09,2024-12-09,2024-12-12,1041, Customer 1020 ,44.0,Female,Kolkata,Clothing,4.0,3271,1566,0.2,Cash,4.0,Yes,,-1705,-108.87611749680714,3 days,December,2024,6264.0
3903,2024-01-08,2024-08-03,2024-08-09,615, Customer 207 ,44.0,Male,Mumbai,Electronics,3.0,3153,2861,0.25,UPI,3.0,No,,-292,-10.206221600838868,6 days,January,2024,8583.0
2093,2024-10-14,2024-10-14,2024-10-21,964, Customer 495 ,44.0,Male,Kolkata,Clothing,,2898,2313,0.2,UPI,,Yes,189099.0,-585,-25.291828793774318,7 days,October,2024,
3306,2024-06-10,2024-06-13,2024-06-19,409, Customer 1031 ,39.0,Female,Kolkata,Furniture,3.0,971,1247,0.1,Card,4.0,Yes,,276,22.133119486768244,6 days,June,2024,3741.0
2027,2024-12-14,2024-12-16,,159, Customer 189 ,44.0,Female,Kolkata,Electronics,3.0,1471,1096,0.0,UPI,,Yes,40530.0,-375,-34.215328467153284,,December,2024,3288.0
2443,2024-07-23,2024-07-25,2024-07-27,556, Customer 830 ,44.0,Male,Mumbai,Clothing,,3977,165,0.25,Cash,5.0,Yes,,-3812,-2310.30303030303,2 days,July,2024,
3236,2024-10-08,2024-10-09,2024-10-08,1086, Customer 537 ,56.0,Female,Kolkata,Furniture,,1830,1534,0.1,Card,1.0,No,136781.0,-296,-19.295958279009128,-1 days,October,2024,
1637,2024-03-20,2024-03-20,2024-03-28,1231, Customer 298 ,44.0,Male,Kolkata,Clothing,1.0,3689,2848,0.2,Cash,2.0,No,,-841,-29.52949438202247,8 days,March,2024,2848.0
3646,2024-11-02,2024-11-05,2024-11-08,228, Customer 1203 ,44.0,Male,Mumbai,Clothing,,456,3427,0.0,Cash,4.0,Yes,,2971,86.69390137146192,3 days,November,2024,
3527,2024-03-22,2024-03-22,2024-03-21,699, Customer 904 ,44.0,Female,Kolkata,Clothing,5.0,2743,2936,0.1,Card,2.0,Yes,,193,6.573569482288828,-1 days,March,2024,14680.0
1408,2024-06-23,2024-06-23,2024-07-01,1345, Customer 503 ,44.0,Female,Delhi,Furniture,,1677,1813,0.2,Cash,,No,162088.0,136,7.501378929950358,8 days,June,2024,
3672,2024-10-19,2024-10-22,2024-10-25,773, Customer 1367 ,44.0,Female,Kolkata,Electronics,2.0,496,3181,0.0,UPI,,No,186146.0,2685,84.40741905061302,3 days,October,2024,6362.0
1311,2024-10-02,2024-10-05,2024-10-04,360, Customer 770 ,44.0,Female,Kolkata,Clothing,,1452,3564,0.2,UPI,4.0,Yes,,2112,59.25925925925925,-1 days,October,2024,
1184,2024-08-26,2024-08-26,,639, Customer 956 ,59.0,Male,Delhi,Electronics,5.0,3388,3270,0.0,Cash,,Yes,,-118,-3.6085626911314983,,August,2024,16350.0
