Order_ID,Order_Date,Ship_Date,Delivery_Date,Customer_ID,Customer_Name,Age,Gender,City,Category,Quantity,Cost_Price,Selling_Price,Discount,Payment_Method,Customer_Rating,Return_Status,Income
2998,2024-03-09,2024-03-09,2024-03-12,1245, Customer 5 ,,FEMALE,Delhi,ELECTRONIC,2,3280,Rs.3968,,UPI,1.0,Yes,"₹190,274"
2415,2024-07-14,2024-07-15,2024-07-20,594, Customer 45 ,64.0,Female,Mumbai,Electronics,-1,3896,Rs.1916,10%,Card,6.0,Yes,
2503,"Oct 27, 2024",2024-10-30,2024-11-06,768, Customer 178 ,43.0,Female,Mumbai,Electronics,-1,1747,Rs.2088,,Cash,1.0,No,
4471,"Dec 26, 2024",2024-12-29,2024-12-30,1351, Customer 1123 ,150.0,F,Kolkata,Furniture,5,₹2154,₹200,0.2,Cash,1.0,No,"₹115,613"
2876,"Sep 15, 2024",,2024-09-24,363, Customer 1128 ,-5.0,F,kolkata,Electronics,-1,₹2262,"₹3,494",10%,UPI,2.0,Yes,"₹138,750"
3160,2024-05-23,2024-05-24,2024-05-27,604, Customer 932 ,150.0,FEMALE,CALCUTTA,Furniture,4,₹703,"₹2,921",10%,Card,6.0,No,"₹130,341"
1144,"May 12, 2024",2024-05-12,2024-05-15,1037, Customer 1389 ,150.0,Female,Mumbai,electronics,-1,123,"₹3,636",0.2,UPI,6.0,No,
4046,2024-01-31,2024-02-02,2024-02-03,18, Customer 1149 ,31.0,Male,Mumbai,electronics,-1,₹3806,"₹2,609",0.2,UPI,6.0,Yes,"₹110,945"
2332,"Apr 15, 2024",2024-04-18,2024-04-26,38, Customer 322 ,,male,CALCUTTA,Clothing,-1,2114,Rs.3295,25%,upi,5.0,Yes,
2097,17/12/2024,2024-12-20,2024-12-27,754, Customer 694 ,33.0,M,Kolkata,ELECTRONIC,-1,745,₹430,0.2,UPI,0.0,Yes,"₹126,587"
3318,2024-07-13,2024-07-14,2024-07-15,606, Customer 1156 ,39.0,F,Kolkata,Furniture,3,2387,"₹4,912",10%,Card,1.0,Yes,
1651,"Feb 28, 2024",2024-02-28,2024-03-01,775, Customer 1112 ,,M,Mumbai,ELECTRONIC,-1,735,Rs.1046,10%,upi,0.0,Yes,"₹27,146"
1456,31/05/2024,2024-06-02,2024-06-08,1112, Customer 1410 ,-5.0,Female,CALCUTTA,ELECTRONIC,2,₹1349,"₹3,364",,upi,4.0,No,
2297,"Feb 15, 2024",2024-02-18,2024-02-18,685, Customer 207 ,-5.0,F,Mumbai,Clothing,5,218,Rs.3298,0.2,upi,1.0,Yes,"₹125,322"
1413,"May 17, 2024",2024-05-17,2024-05-17,1043, Customer 1363 ,19.0,male,kolkata,electronics,-1,1970,Rs.3042,,UPI,5.0,Yes,"₹74,195"
3927,"Oct 06, 2024",2024-10-06,2024-10-10,1397, Customer 915 ,150.0,Female,Mumbai,ELECTRONIC,-1,2251,Rs.2548,25%,UPI,6.0,No,
2061,05/09/2024,2024-09-05,2024-09-10,1255, Customer 183 ,54.0,male,Delhi,Electronics,-1,2481,₹610,25%,upi,4.0,No,
1653,"Apr 25, 2024",2024-04-28,2024-05-02,639, Customer 612 ,-5.0,FEMALE,CALCUTTA,Clothing,3,₹2145,"₹1,897",25%,UPI,2.0,No,"₹66,209"
3229,"May 08, 2024",2024-05-11,2024-05-13,186, Customer 523 ,54.0,FEMALE,Kolkata,ELECTRONIC,1,1622,Rs.3324,10%,Cash,4.0,No,
1483,"Mar 25, 2024",2024-03-27,2024-04-02,1146, Customer 9 ,,male,Mumbai,Furniture,5,₹2237,Rs.1076,10%,upi,5.0,Yes,
4150,2024-03-16,2024-03-17,2024-03-20,582, Customer 222 ,-5.0,Male,Kolkata,Clothing,-1,2060,Rs.1476,0.2,UPI,0.0,No,
4207,"Sep 27, 2024",2024-09-29,2024-09-28,1327, Customer 774 ,,Female,kolkata,Clothing,-1,₹1685,Rs.2968,0.2,Cash,6.0,No,
3018,"Nov 13, 2024",2024-11-14,2024-11-18,596, Customer 1290 ,51.0,Male,Delhi,electronics,-1,1709,Rs.4846,0.2,UPI,1.0,No,
3090,2024-12-16,2024-12-18,2024-12-19,728, Customer 138 ,-5.0,FEMALE,Delhi,Electronics,2,₹235,Rs.1489,10%,Cash,5.0,No,"₹74,759"
1690,01/05/2024,2024-05-03,2024-05-06,1140, Customer 553 ,22.0,M,Mumbai,electronics,-1,2145,Rs.3116,0.2,Cash,5.0,No,
1297,"Nov 08, 2024",2024-11-09,2024-11-08,1187, Customer 909 ,,F,kolkata,Clothing,-1,3267,"₹2,693",0.2,upi,3.0,No,
3016,2024-07-24,2024-07-25,,1224, Customer 48 ,150.0,male,Kolkata,Furniture,-1,₹1676,"₹2,602",,Card,2.0,Yes,"₹44,964"
3240,"Jul 23, 2024",2024-07-24,2024-07-30,529, Customer 677 ,,Female,Mumbai,Electronics,2,₹1211,"₹1,481",10%,UPI,1.0,No,
3313,24/10/2024,2024-10-26,2024-10-28,1336, Customer 622 ,150.0,Male,Kolkata,Clothing,1,1636,"₹1,347",10%,Card,2.0,No,"₹43,864"
2064,"Jan 15, 2024",2024-01-18,2024-01-19,1205, Customer 1210 ,-5.0,male,CALCUTTA,Furniture,5,₹2634,Rs.3766,,Cash,4.0,No,"₹193,640"
4500,31/12/2024,2025-01-02,2025-01-10,187, Customer 1051 ,64.0,Female,Mumbai,ELECTRONIC,-1,668,"₹2,160",10%,upi,1.0,No,"₹194,130"
2573,2024-07-21,2024-07-24,2024-07-23,267, Customer 534 ,-5.0,Female,Kolkata,ELECTRONIC,-1,401,Rs.2148,0.2,upi,0.0,No,
